"MEASURE","Measure","STATE","State","SEX_ABS","Sex","AGE","Age","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Estimated Resident Population","6","Tasmania","1","Males","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",264440,,
"1","Estimated Resident Population","8","Australian Capital Territory","2","Females","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",215733,,
"1","Estimated Resident Population","5","Western Australia","2","Females","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",1312274,,
"1","Estimated Resident Population","0","Australia","1","Males","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",12581355,,
"1","Estimated Resident Population","3","Queensland","1","Males","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",2518836,,
"1","Estimated Resident Population","2","Victoria","2","Females","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",3329108,,
"1","Estimated Resident Population","3","Queensland","3","Persons","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",5094510,,
"1","Estimated Resident Population","7","Northern Territory","2","Females","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",118859,,
"1","Estimated Resident Population","0","Australia","3","Persons","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",25365571,,
"1","Estimated Resident Population","6","Tasmania","3","Persons","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",534457,,
"1","Estimated Resident Population","7","Northern Territory","1","Males","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",127070,,
"1","Estimated Resident Population","4","South Australia","1","Males","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",865528,,
"1","Estimated Resident Population","1","New South Wales","1","Males","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",4015829,,
"1","Estimated Resident Population","2","Victoria","1","Males","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",3266931,,
"1","Estimated Resident Population","4","South Australia","2","Females","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",886435,,
"1","Estimated Resident Population","8","Australian Capital Territory","1","Males","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",210971,,
"1","Estimated Resident Population","7","Northern Territory","3","Persons","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",245929,,
"1","Estimated Resident Population","4","South Australia","3","Persons","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",1751963,,
"1","Estimated Resident Population","6","Tasmania","2","Females","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",270017,,
"1","Estimated Resident Population","0","Australia","2","Females","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",12784216,,
"1","Estimated Resident Population","3","Queensland","2","Females","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",2575674,,
"1","Estimated Resident Population","5","Western Australia","3","Persons","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",2621509,,
"1","Estimated Resident Population","8","Australian Capital Territory","3","Persons","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",426704,,
"1","Estimated Resident Population","1","New South Wales","2","Females","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",4073988,,
"1","Estimated Resident Population","5","Western Australia","1","Males","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",1309235,,
"1","Estimated Resident Population","1","New South Wales","3","Persons","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",8089817,,
"1","Estimated Resident Population","2","Victoria","3","Persons","TT","All ages","Q","Quarterly","2019-Q2","Jun-2019",6596039,,
